0.05,-0.892,-3.76,-6.88,-12.25,-20.16,-14.95,-16.98,-25.34
0.10,-0.869,-3.58,-6.58,-11.76,-19.30,-14.30,-16.23,-24.23
0.15,-0.813,-3.35,-6.19,-11.08,-18.15,-13.44,-15.25,-22.77
0.20,-0.759,-3.15,-5.77,-10.33,-16.89,-12.51,-14.20,-21.22
0.25,-0.690,-2.91,-5.34,-9.57,-15.60,-11.57,-13.16,-19.68
0.30,-0.625,-2.66,-4.92,-8.82,-14.33,-10.65,-12.13,-18.16
0.35,-0.570,-2.46,-4.51,-8.08,-13.08,-9.75,-11.13,-16.66
0.40,-0.503,-2.25,-4.11,-7.35,-11.84,-8.87,-10.15,-15.19
0.45,-0.437,-2.04,-3.73,-6.64,-10.63,-8.01,-9.19,-13.75
0.50,-0.405,-1.84,-3.36,-5.95,-9.45,-7.16,-8.25,-12.34
0.55,-0.335,-1.64,-2.99,-5.28,-8.31,-6.35,-7.35,-10.98
0.60,-0.311,-1.48,-2.63,-4.64,-7.22,-5.56,-6.47,-9.60
0.65,-0.271,-1.30,-2.29,-4.02,-6.20,-4.83,-5.65,-8.36
0.70,-0.213,-1.11,-1.99,-3.44,-5.23,-4.12,-4.85,-7.17
0.75,-0.225,-0.95,-1.68,-2.90,-4.36,-3.48,-4.11,-6.03
0.80,-0.166,-0.81,-1.40,-2.40,-3.55,-2.87,-3.41,-4.98
0.85,-0.150,-0.66,-1.15,-1.94,-2.82,-2.35,-2.78,-4.07
0.90,-0.117,-0.55,-0.90,-1.51,-2.16,-1.85,-2.24,-3.18
0.95,-0.073,-0.44,-0.69,-1.16,-1.62,-1.42,-1.71,-2.39
1.00,-0.073,-0.30,-0.52,-0.85,-1.20,-1.09,-1.27,-1.74
1.05,-0.063,-0.20,-0.37,-0.59,-0.81,-0.76,-0.88,-1.28
1.10,-0.053,-0.13,-0.25,-0.39,-0.51,-0.50,-0.58,-0.76
1.15,-0.016,-0.09,-0.16,-0.24,-0.29,-0.31,-0.35,-0.44
1.20,-0.020,-0.05,-0.09,-0.13,-0.16,-0.17,-0.19,-0.22
1.25,-0.020,-0.02,-0.05,-0.07,-0.09,-0.09,-0.09,-0.10
1.30,-0.002,-0.01,-0.02,-0.04,-0.06,-0.05,-0.04,-0.04
1.35,-0.016,0.00,-0.02,-0.02,-0.06,-0.04,-0.03,-0.04
1.40,-0.015,0.00,-0.01,-0.03,-0.08,-0.05,-0.04,-0.06
1.45,-0.016,0.00,-0.02,-0.04,-0.10,-0.07,-0.06,-0.09
1.50,-0.029,-0.01,-0.02,-0.06,-0.12,-0.10,-0.09,-0.12
1.55,-0.042,-0.02,-0.04,-0.07,-0.13,-0.11,-0.11,-0.15
1.60,-0.016,-0.02,-0.04,-0.07,-0.13,-0.12,-0.12,-0.16
1.65,-0.017,-0.02,-0.04,-0.06,-0.10,-0.12,-0.12,-0.14
1.70,-0.021,-0.02,-0.04,-0.04,-0.07,-0.10,-0.10,-0.10
1.75,-0.019,-0.02,-0.03,-0.02,-0.04,-0.07,-0.07,-0.05
1.80,-0.018,-0.01,-0.02,0.00,-0.01,-0.04,-0.03,0.00
1.85,-0.029,-0.01,-0.01,0.02,0.00,-0.02,0.00,0.03
1.90,-0.030,0.00,0.00,0.02,-0.01,-0.01,0.01,0.04
1.95,-0.003,0.00,0.00,0.02,-0.03,-0.02,0.00,0.01
2.00,0.001,0.03,-0.01,0.01,-0.06,-0.04,-0.02,-0.02
2.05,-0.001,0.00,-0.02,0.00,-0.05,-0.05,-0.05,-0.06
2.10,-0.007,0.00,-0.02,0.00,-0.05,-0.06,-0.06,-0.07
2.15,0.000,0.00,-0.02,0.00,-0.03,-0.05,-0.05,-0.06
2.20,-0.002,-0.01,-0.02,0.01,-0.02,-0.04,-0.04,-0.03
2.25,0.008,-0.01,-0.02,0.02,-0.02,-0.03,-0.03,-0.01
2.30,0.009,0.00,-0.01,0.01,-0.02,-0.02,-0.02,0.00
2.35,0.003,0.00,-0.01,0.02,-0.02,-0.02,-0.02,0.00
2.40,0.012,0.00,-0.01,0.02,-0.03,-0.02,-0.02,-0.01
2.45,0.006,0.00,-0.02,0.01,-0.03,-0.03,-0.03,-0.02
2.50,0.008,-0.01,-0.02,0.00,-0.04,-0.04,-0.04,-0.04
